Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time, MaxNoEquiv, SuccessCount
anbna(a+b)(a+b), 9.962274074554443, 3, 6, 17, 2, 6, 5.039597749710083, 1.6798659165700276, 5.0, 4.916212320327759, 1.6443922519683838
(anbn)even_a, 14.186829805374146, 4, 7, 20, 5, 6, 7.125519275665283, 1.7813798189163208, 5.333333333333333, 7.04817271232605, 1.6579537391662598
(anbn)odd_a, 13.416224956512451, 4, 8, 22, 5, 6, 6.752876281738281, 1.6882190704345703, 6.0, 6.645713806152344, 1.6554288864135742
(ambn)_a|m>n, 6.774048089981079, 2, 4, 8, 2, 4, 3.4169461727142334, 1.7084730863571167, 4.0, 3.3545970916748047, 1.632962942123413
aibi-plus-a, 19.83809995651245, 6, 9, 27, 8, 4, 9.966270923614502, 1.6610451539357503, 5.4, 9.828290700912476, 1.6275899410247803
equal(ab)a, 9.898571968078613, 3, 5, 11, 1, 3, 4.995169401168823, 1.6650564670562744, 4.5, 4.900218963623047, 1.637094259262085
anbn-plus-a, 6.707780122756958, 2, 3, 10, 2, 4, 3.3913562297821045, 1.6956781148910522, 3.0, 3.3139307498931885, 1.6637599468231201
anbna, 10.036194086074829, 3, 7, 14, 2, 4, 5.089526891708374, 1.6965089639027913, 6.0, 4.942803621292114, 1.6353816986083984
anbn_even_a-0, 6.674635171890259, 2, 6, 14, 5, 6, 3.363085985183716, 1.681542992591858, 6.0, 3.3045449256896973, 1.6656360626220703
anbm_n-odd_m>n, 9.97449517250061, 3, 4, 13, 2, 5, 5.00961971282959, 1.6698732376098633, 4.0, 4.960646867752075, 1.6437609195709229

Average, 10.746915340423584, 3.2, 5.9, 15.6, 3.4, 4.8, 5.414996862411499, 1.6927642822265625, 4.923333333333334, 5.3215131759643555, 1.6463960647583007, 6, 10
